EL ,FIP,BTE,EGT,PCP,CO2 ,HC,NOx ,CO,NHRR ,ID
20,200,9.11,177,51.11,0.6,77,50,55,49,19
40,200,16.17,212,56.91,0.69,51,81,45,51,17
60,200,20.77,244,59.74,1.31,39,132,35,54,16
80,200,23.77,285,62.63,1.61,37,159,38,57,16
100,200,24.11,324,67.62,1.8,79,171,58,59,13
20,220,10.19,174,53.98,0.67,57,55,51,51,18
40,220,17.17,208,59.71,0.7,37,97,41,52,16
60,220,21.33,239,63.44,1.37,25,151,30,54,16
80,220,25.11,280,65.91,1.68,27,171,35,57,14
100,220,26.79,322,71.11,1.91,58,185,50,60,13
20,240,11,172,54.56,0.71,53,58,47,52,18
40,240,19,206,61.55,0.83,36,100,37,53,15
60,240,22.99,235,64.57,1.41,23,155,27,56,14
80,240,27,272,68.57,1.71,29,172,32,58,13
100,240,28,317,74,2,52,187,44,60,12
20,260,11.88,170,55.62,0.85,49,60,37,54,17
40,260,20,200,62.67,1.01,33,105,30,54,15
60,260,23.77,230,65.32,1.45,21,157,25,57,13
80,260,28.111,265,69.58,1.8,25,177,30,59,13
100,260,29.22,310,74.49,2.3,45,189,40,63,12
20,280,12.77,168,56.57,0.87,59,69,52,56,17
40,280,20.99,198,63.55,1.1,35,111,38,56,14
60,280,24.11,225,66.91,1.49,26,161,29,58,13
80,280,28.99,247,70.92,1.81,30,181,33,63,12
100,280,31.33,307,75.58,2.4,55,195,52,68,11
